date,unit_id,metric
1995-01-01,Australia,100.0
1996-01-01,Australia,102.613
1997-01-01,Australia,105.485
1998-01-01,Australia,109.323
1999-01-01,Australia,113.571
2000-01-01,Australia,116.676
2001-01-01,Australia,117.527
2002-01-01,Australia,120.787
2003-01-01,Australia,123.097
2004-01-01,Australia,126.926
2005-01-01,Australia,129.347
2006-01-01,Australia,131.15
2007-01-01,Australia,133.658
2008-01-01,Australia,135.754
2009-01-01,Australia,135.584
2010-01-01,Australia,136.442
2011-01-01,Australia,137.781
2012-01-01,Australia,140.748
2013-01-01,Australia,142.019
2014-01-01,Australia,143.556
2015-01-01,Australia,144.567
2016-01-01,Australia,146.249
2017-01-01,Australia,147.159
2018-01-01,Australia,149.141
2019-01-01,Australia,150.178
1995-01-01,Austria,100.0
1996-01-01,Austria,102.078
1997-01-01,Austria,104.15
1998-01-01,Austria,107.67
1999-01-01,Austria,111.503
2000-01-01,Austria,114.783
2001-01-01,Austria,115.851
2002-01-01,Austria,116.993
2003-01-01,Austria,117.754
2004-01-01,Austria,120.027
2005-01-01,Austria,121.979
2006-01-01,Austria,125.345
2007-01-01,Austria,129.656
2008-01-01,Austria,131.129
2009-01-01,Austria,126.096
2010-01-01,Austria,128.069
2011-01-01,Austria,131.374
2012-01-01,Austria,131.598
2013-01-01,Austria,130.497
2014-01-01,Austria,130.459
2015-01-01,Austria,130.687
2016-01-01,Austria,132.018
2017-01-01,Austria,134.083
2018-01-01,Austria,136.747
2019-01-01,Austria,138.529
1995-01-01,Belgium,100.0
1996-01-01,Belgium,101.124
1997-01-01,Belgium,104.706
1998-01-01,Belgium,106.533
1999-01-01,Belgium,110.054
2000-01-01,Belgium,113.868
2001-01-01,Belgium,114.725
2002-01-01,Belgium,116.161
2003-01-01,Belgium,116.877
2004-01-01,Belgium,120.528
2005-01-01,Belgium,122.65
2006-01-01,Belgium,124.953
2007-01-01,Belgium,128.6
2008-01-01,Belgium,128.158
2009-01-01,Belgium,124.708
2010-01-01,Belgium,126.923
2011-01-01,Belgium,127.701
2012-01-01,Belgium,127.186
2013-01-01,Belgium,126.974
2014-01-01,Belgium,128.644
2015-01-01,Belgium,129.786
2016-01-01,Belgium,130.672
2017-01-01,Belgium,132.089
2018-01-01,Belgium,133.958
2019-01-01,Belgium,136.491
1995-01-01,Canada,100.0
1996-01-01,Canada,100.632
1997-01-01,Canada,103.901
1998-01-01,Canada,107.054
1999-01-01,Canada,111.646
2000-01-01,Canada,116.295
2001-01-01,Canada,117.196
2002-01-01,Canada,119.408
2003-01-01,Canada,120.477
2004-01-01,Canada,123.05
2005-01-01,Canada,125.804
2006-01-01,Canada,127.82
2007-01-01,Canada,129.18
2008-01-01,Canada,129.06
2009-01-01,Canada,123.871
2010-01-01,Canada,126.289
2011-01-01,Canada,128.986
2012-01-01,Canada,129.836
2013-01-01,Canada,131.464
2014-01-01,Canada,133.894
2015-01-01,Canada,133.743
2016-01-01,Canada,133.612
2017-01-01,Canada,136.029
2018-01-01,Canada,137.772
2019-01-01,Canada,138.364
1995-01-01,Denmark,100.0
1996-01-01,Denmark,102.315
1997-01-01,Denmark,105.119
1998-01-01,Denmark,107.175
1999-01-01,Denmark,109.99
2000-01-01,Denmark,113.706
2001-01-01,Denmark,114.375
2002-01-01,Denmark,114.531
2003-01-01,Denmark,114.724
2004-01-01,Denmark,117.605
2005-01-01,Denmark,120.048
2006-01-01,Denmark,124.221
2007-01-01,Denmark,124.892
2008-01-01,Denmark,123.643
2009-01-01,Denmark,116.865
2010-01-01,Denmark,118.189
2011-01-01,Denmark,119.246
2012-01-01,Denmark,118.792
2013-01-01,Denmark,119.945
2014-01-01,Denmark,120.863
2015-01-01,Denmark,122.538
2016-01-01,Denmark,125.322
2017-01-01,Denmark,128.324
2018-01-01,Denmark,130.065
2019-01-01,Denmark,131.818
1995-01-01,Finland,100.0
1996-01-01,Finland,103.323
1997-01-01,Finland,109.607
1998-01-01,Finland,115.279
1999-01-01,Finland,120.06
2000-01-01,Finland,126.704
2001-01-01,Finland,129.754
2002-01-01,Finland,131.624
2003-01-01,Finland,133.952
2004-01-01,Finland,138.913
2005-01-01,Finland,142.284
2006-01-01,Finland,147.436
2007-01-01,Finland,154.61
2008-01-01,Finland,155.099
2009-01-01,Finland,141.893
2010-01-01,Finland,145.72
2011-01-01,Finland,148.513
2012-01-01,Finland,145.558
2013-01-01,Finland,143.469
2014-01-01,Finland,142.194
2015-01-01,Finland,142.387
2016-01-01,Finland,145.63
2017-01-01,Finland,150.088
2018-01-01,Finland,151.678
2019-01-01,Finland,153.556
1995-01-01,France,100.0
1996-01-01,France,101.035
1997-01-01,France,103.22
