date,unit_id,metric
2023-01-01,Amsterdam,85.57
2023-02-01,Amsterdam,90.48
2023-03-01,Amsterdam,94.18
2023-04-01,Amsterdam,97.58
2023-05-01,Amsterdam,99.13
2023-06-01,Amsterdam,95.46
2023-07-01,Amsterdam,94.06
2023-08-01,Amsterdam,91.91
2023-09-01,Amsterdam,92.5
2023-10-01,Amsterdam,92.11
2023-11-01,Amsterdam,92.3
2023-12-01,Amsterdam,92.41
2024-01-01,Amsterdam,99.63
2024-02-01,Amsterdam,101.97
2024-03-01,Amsterdam,106.34
2024-04-01,Amsterdam,105.26
2024-05-01,Amsterdam,109.22
2024-06-01,Amsterdam,103.35
2024-07-01,Amsterdam,105.29
2024-08-01,Amsterdam,100.37
2024-09-01,Amsterdam,97.86
2024-10-01,Amsterdam,96.63
2024-11-01,Amsterdam,100.02
2024-12-01,Amsterdam,105.84
2025-01-01,Amsterdam,108.02
2025-02-01,Amsterdam,111.16
2025-03-01,Amsterdam,107.7
2025-04-01,Amsterdam,115.31
2025-05-01,Amsterdam,114.99
2025-06-01,Amsterdam,111.54
2025-07-01,Amsterdam,109.42
2025-08-01,Amsterdam,108.7
2025-09-01,Amsterdam,110.91
2025-10-01,Amsterdam,105.35
2025-11-01,Amsterdam,108.04
2025-12-01,Amsterdam,114.29
2023-01-01,Berlin,115.22
2023-02-01,Berlin,121.45
2023-03-01,Berlin,123.87
2023-04-01,Berlin,124.62
2023-05-01,Berlin,122.92
2023-06-01,Berlin,120.76
2023-07-01,Berlin,120.76
2023-08-01,Berlin,120.37
2023-09-01,Berlin,116.22
2023-10-01,Berlin,115.92
2023-11-01,Berlin,119.04
2023-12-01,Berlin,118.51
2024-01-01,Berlin,125.15
2024-02-01,Berlin,131.12
2024-03-01,Berlin,135.32
2024-04-01,Berlin,134.94
2024-05-01,Berlin,136.17
2024-06-01,Berlin,134.31
2024-07-01,Berlin,132.85
2024-08-01,Berlin,126.53
2024-09-01,Berlin,128.29
2024-10-01,Berlin,124.12
2024-11-01,Berlin,123.75
2024-12-01,Berlin,131.22
2025-01-01,Berlin,134.96
2025-02-01,Berlin,142.91
2025-03-01,Berlin,145.92
2025-04-01,Berlin,144.0
2025-05-01,Berlin,148.12
2025-06-01,Berlin,142.82
2025-07-01,Berlin,142.13
2025-08-01,Berlin,139.19
2025-09-01,Berlin,138.4
2025-10-01,Berlin,139.81
2025-11-01,Berlin,141.29
2025-12-01,Berlin,144.15
2023-01-01,Dublin,115.94
2023-02-01,Dublin,122.59
2023-03-01,Dublin,125.35
2023-04-01,Dublin,131.76
2023-05-01,Dublin,123.5
2023-06-01,Dublin,126.98
2023-07-01,Dublin,122.39
2023-08-01,Dublin,120.22
2023-09-01,Dublin,122.59
2023-10-01,Dublin,118.76
2023-11-01,Dublin,125.14
2023-12-01,Dublin,123.29
2024-01-01,Dublin,129.34
2024-02-01,Dublin,132.11
2024-03-01,Dublin,135.23
2024-04-01,Dublin,138.62
2024-05-01,Dublin,137.93
2024-06-01,Dublin,137.26
2024-07-01,Dublin,130.06
2024-08-01,Dublin,135.69
2024-09-01,Dublin,129.72
2024-10-01,Dublin,133.53
2024-11-01,Dublin,129.91
2024-12-01,Dublin,136.03
2025-01-01,Dublin,146.23
2025-02-01,Dublin,142.62
2025-03-01,Dublin,144.89
2025-04-01,Dublin,148.67
2025-05-01,Dublin,150.7
2025-06-01,Dublin,149.51
2025-07-01,Dublin,148.12
2025-08-01,Dublin,142.44
2025-09-01,Dublin,138.11
2025-10-01,Dublin,140.44
2025-11-01,Dublin,145.68
2025-12-01,Dublin,147.64
2023-01-01,Lisbon,128.54
2023-02-01,Lisbon,137.42
2023-03-01,Lisbon,144.25
2023-04-01,Lisbon,147.83
2023-05-01,Lisbon,144.7
2023-06-01,Lisbon,142.34
2023-07-01,Lisbon,136.33
2023-08-01,Lisbon,134.21
2023-09-01,Lisbon,134.14
2023-10-01,Lisbon,135.05
2023-11-01,Lisbon,137.33
2023-12-01,Lisbon,139.18
2024-01-01,Lisbon,142.86
2024-02-01,Lisbon,148.65
2024-03-01,Lisbon,151.86
2024-04-01,Lisbon,157.58
